load_0_E22,load_0_E12,load_0_E21,load_0_E11, load_0_a, load_0_overload, load_0_r, load_0_repeats, mat, numRuns, sve_band_thickness, sve_banded, sve_dream3d, sve_geometry, sve_periodic, sve_repeat,MS_repeat, sve_res, sve_x, sve_y, sve_z, 
0.6638,0.5824,0.5824,-0.0088,0.002,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
-0.0088,0.5824,0.5824,0.6638,0.002,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
,,,1,0.002,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
0.6638,0.5824,0.5824,-0.0088,0.003,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
-0.0088,0.5824,0.5824,0.6638,0.003,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
,,,1,0.003,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
0.6638,0.5824,0.5824,-0.0088,0.004,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
-0.0088,0.5824,0.5824,0.6638,0.004,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
,,,1,0.004,0,-1,0,Al7075,2,1,TRUE,FALSE,smooth,FALSE,TRUE,TRUE,0.001,0.021,0.021,0.021,
